context_length,transformer_over_gd,transformer_over_pgd,transformer_over_ols,transformer_improvement_vs_gd,transformer_improvement_vs_pgd,transformer_improvement_vs_ols
4,0.5218779998687175,0.7186704218018023,1.5789295434768555,0.47812200013128253,0.2813295781981977,-0.5789295434768555
8,0.48614141867697575,0.6423068166666979,nan,0.5138585813230242,0.35769318333330213,nan
12,0.027648957645535974,0.7780426670194652,nan,0.972351042354464,0.2219573329805348,nan
16,0.22790854829830334,0.9148413782712426,nan,0.7720914517016967,0.08515862172875738,nan
20,0.2404372796076096,1.842206904333202,nan,0.7595627203923904,-0.8422069043332021,nan
