context_length,transformer_mean,transformer_std,gd_mean,gd_std,pgd_mean,pgd_std,ols_mean,ols_std
4,2.0585529804229736,0.10545217245817184,3.944509983062744,2.5288109100074507e-06,2.8643908500671387,1.8544612885307288e-06,1.3037649393081665,3.759498940780759e-05
8,0.8993207216262817,0.014138245023787022,1.849915862083435,1.1801117807408446e-06,1.400141954421997,4.804740910913097e-06,1.533031201983448e-10,1.2185948430887272e-11
12,0.6211395859718323,0.04674515500664711,22.465208053588867,2.6973983040079474e-05,0.7983361482620239,4.214684778958144e-08,1.8808296933792157e-12,1.7354105891036198e-13
16,0.414747953414917,0.030835751444101334,1.8197999000549316,7.586432957396028e-07,0.4533550441265106,6.743495646333031e-07,1.4586903733515566e-12,3.353810285045e-13
20,0.36396533250808716,0.0869341790676117,1.5137641429901123,2.528810796320613e-07,0.19757027924060822,2.528810796320613e-07,5.424311715941654e-13,1.7013170386381837e-13
